Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Method,"controller.StudentController.getStudent",,2,,1
Public Method,"controller.StudentController.getStudentsOfCourse",,1,,0
Public Method,"controller.StudentController.newStudent",,2,,1
Public Method,"controller.StudentController.saveStudent",,3,,2
Public Method,"controller.StudentController.searchStudent",,1,,0
Public Method,"controller.StudentController.setServiceController",,1,,0
Public Method,"controller.StudentController.setStudentDAO",,1,,0
Public Method,"controller.StudentController.updateStudent",,1,,0
Public Class,"controller.TeacherController",1,17,1,1
Public Constructor,"controller.TeacherController.TeacherController",,1,,0
Public Method,"controller.TeacherController.activateTeacher",,2,,1
Public Method,"controller.TeacherController.disableTeacher",,2,,1
Public Method,"controller.TeacherController.getTeacher",,2,,1
Public Method,"controller.TeacherController.getTeachers",,2,,1
Public Method,"controller.TeacherController.getTeachers",,2,,1
Public Method,"controller.TeacherController.newTeacher",,2,,1
Public Method,"controller.TeacherController.setTeacherDAO",,1,,0
Public Method,"controller.TeacherController.updateTeacher",,2,,1
Private Method,"controller.TeacherController.updateTeacherStatus",,1,,0
Package,"dao",2,192,1,4
Public Class,"dao.AuthenticationDAO",2,4,1,1
Public Method,"dao.AuthenticationDAO.get",,2,,1
Public Method,"dao.AuthenticationDAO.update",,2,,1
Public Class,"dao.ClassDAO",3,32,1,3
Private Method,"dao.ClassDAO.checkIfClassAlreadyExists",,3,,2
Public Method,"dao.ClassDAO.getClass",,4,,3
Public Method,"dao.ClassDAO.getClassByResultSet",,1,,0
Public Method,"dao.ClassDAO.getClasses",,10,,3
Public Method,"dao.ClassDAO.getCourse",,1,,0
Public Method,"dao.ClassDAO.getTeacher",,1,,0
Public Method,"dao.ClassDAO.save",,3,,2
Public Method,"dao.ClassDAO.searchClassByCode",,4,,3
Public Method,"dao.ClassDAO.update",,3,,2
Public Method,"dao.ClassDAO.update",,2,,1
Public Class,"dao.CourseDAO",2,21,1,3
Public Method,"dao.CourseDAO.get",,4,,3
Public Method,"dao.CourseDAO.get",,3,,2
Public Method,"dao.CourseDAO.get",,3,,2
Public Method,"dao.CourseDAO.get",,2,,1
Public Method,"dao.CourseDAO.getStatus",,2,,1
Public Method,"dao.CourseDAO.save",,3,,1
Public Method,"dao.CourseDAO.update",,2,,1
Public Method,"dao.CourseDAO.updateStatus",,2,,1
Public Abstract Class,"dao.DAO",1,5,1,1
Private Method,"dao.DAO.connectToDB",,1,,0
Protected Method,"dao.DAO.execute",,1,,0
Protected Method,"dao.DAO.getNextId",,2,,1
Protected Method,"dao.DAO.search",,1,,0
Public Class,"dao.DatabaseConfig",1,4,1,0
Public Constructor,"dao.DatabaseConfig.DatabaseConfig",,1,,0
Public Method,"dao.DatabaseConfig.local",,1,,0
Public Method,"dao.DatabaseConfig.password",,1,,0
Public Method,"dao.DatabaseConfig.user",,1,,0
Public Class,"dao.FactoryConnection",1,4,1,1
Public Static Method,"dao.FactoryConnection.establishConnection",,1,,0
Private Method,"dao.FactoryConnection.getConnection",,1,,0
Private Static Method,"dao.FactoryConnection.getInstance",,2,,1
Public Class,"dao.PackageDAO",3,36,1,3
Public Constructor,"dao.PackageDAO.PackageDAO",,1,,0
Private Method,"dao.PackageDAO.disassociateAllCoursesOfPackage",,2,,1
Public Method,"dao.PackageDAO.get",,5,,3
Public Method,"dao.PackageDAO.get",,4,,3
Public Method,"dao.PackageDAO.get",,4,,3
Private Method,"dao.PackageDAO.getPackageCourses",,2,,1
Public Method,"dao.PackageDAO.getTheLastId",,4,,2
Public Method,"dao.PackageDAO.save",,3,,2
Private Method,"dao.PackageDAO.saveDataOfPackageCourse",,2,,1
Public Method,"dao.PackageDAO.update",,4,,2
Public Method,"dao.PackageDAO.update",,2,,1
Private Method,"dao.PackageDAO.updatePackageCourses",,3,,2
